date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_read,33.01,1938873202,
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_write,32.21,1986705723,
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_single,47670417.51,22524279836,
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_threaded,5573704.51,192644196073,
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_write_single,94917246.60,11312399616,
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_write_threaded,8508225.51,126200442518,
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_read_seq,1045.16,7838057795,
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_write_fsync,171047.41,47893153,
2026-07-06T11:36:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_write_no_fsync,2017.26,4060949570,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,mem_random_read,20.13,3179798028,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,mem_random_write,17.32,3695254913,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_single,21526067.57,49881002199,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_threaded,8006261.39,134112761429,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_write_single,33826808.01,31742333583,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_write_threaded,10174353.67,105534155692,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_read_seq,517.87,15818676488,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_write_fsync,92628.14,88439648,
2026-07-06T11:41:26,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_write_no_fsync,1668.10,4910964439,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,mem_random_read,34.88,1834983916,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,mem_random_write,19.84,3225825997,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_read_single,39464717.28,27207640090,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_read_threaded,3492320.40,307457993788,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_write_single,44300691.82,24237585914,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_write_threaded,7661805.58,140142139136,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_read_seq,902.88,9073237925,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_write_fsync,95283.77,85974763,
2026-07-06T11:46:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_write_no_fsync,2101.58,3898011393,
2026-07-06T11:50:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,mem_random_read,38.85,1647464704,
2026-07-06T11:50:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,mem_random_write,26.85,2383696380,
2026-07-06T11:50:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_read_single,98798176.95,10868032763,
