date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_read,33.07,1935099275,
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_write,31.53,2029963921,
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_single,47711350.37,22504955648,
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_threaded,5480651.17,195915008977,
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_write_single,92035006.59,11666667541,
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_write_threaded,8471837.19,126742499817,
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_read_seq,938.87,8725349610,
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_write_fsync,175356.14,46716357,
2026-08-18T10:26:32,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_write_no_fsync,1987.75,4121240804,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,mem_random_read,21.04,3041807465,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,mem_random_write,17.66,3623418825,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_single,21627765.22,49646452745,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_threaded,7128297.53,150630893293,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_write_single,34389312.51,31223125607,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_write_threaded,10226845.54,104992474913,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_read_seq,455.85,17970967778,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_write_fsync,94234.69,86931896,
2026-08-18T10:31:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_write_no_fsync,1680.20,4875606963,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,mem_random_read,34.64,1847319507,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,mem_random_write,18.49,3461481498,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_read_single,39997131.02,26845471081,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_read_threaded,3478165.15,308709270300,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_write_single,44103851.30,24345761022,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_write_threaded,6960078.20,154271517197,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_read_seq,878.90,9320693121,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_write_fsync,99583.31,82262784,
2026-08-18T10:36:15,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_write_no_fsync,2040.81,4014083284,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,mem_random_read,35.35,1810428634,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,mem_random_write,24.62,2599418357,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_read_single,95242579.44,11273758337,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_read_threaded,5899041.57,182019707895,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_write_single,92162435.28,11650536585,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_write_threaded,8066771.44,133106761659,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,ssd_read_seq,62464.24,131147036,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,ssd_write_fsync,3816818.62,2146290,
2026-08-18T10:40:45,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,ssd_write_no_fsync,3190.05,2567982960,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,mem_random_read,29.53,2167573161,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,mem_random_write,29.31,2183501524,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,seq_mem_read_single,28924663.80,37122015713,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,seq_mem_read_threaded,4884112.23,219843806563,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,seq_mem_write_single,39029437.06,27511076378,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,seq_mem_write_threaded,7778885.50,138032861350,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,ssd_read_seq,62462.47,131150757,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,ssd_write_fsync,2838796.96,2885729,
2026-08-18T10:43:56,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,ssd_write_no_fsync,3865.06,2119504030,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,mem_random_read,36.54,1751557035,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,mem_random_write,23.02,2779728616,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,seq_mem_read_single,34384676.25,31227335574,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,seq_mem_read_threaded,4134068.63,259730043181,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,seq_mem_write_single,39975539.29,26859970946,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,seq_mem_write_threaded,9492714.98,113112194622,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,ssd_read_seq,62465.88,131143601,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,ssd_write_fsync,2778884.03,2947946,
2026-08-18T10:47:13,aws-c7g.12xlarge,Neoverse-V1,bench_stable,ssd_write_no_fsync,3162.83,2590086625,
