date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,compression,60593.63,17305054778,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,context_switch,3407.72,,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,decompression,628500.73,1668376755,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,deserialization_fast,107.70,1448503257,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,deserialization,435.77,328157626,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_crypto,409.22,156394715,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_non_crypto,57.51,1112874745,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_siphash,47.61,1344298201,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,mem_random_rw,161.12,397231737,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,seq_mem_read_single,40673295.54,26399184271,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,seq_mem_read_threaded,6346939.39,169174740536,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,serialization_fast,67.98,2294643342,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,serialization,592.44,241374338,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,sort_64bit,,613988080,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_read_random,78190.76,104769414,
2026-05-29T07:15:12,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_read_seq,911.47,8987669199,
