date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,compression,47830.57,21922717710,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,context_switch,3293.15,,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,decompression,618613.86,1695041240,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,deserialization_fast,107.43,1452152549,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,deserialization,442.56,323120122,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_crypto,407.13,157199322,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_non_crypto,57.26,1117647121,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_siphash,47.61,1344267204,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,mem_random_rw,151.28,423070533,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,seq_mem_read_single,38848579.98,27639152436,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,seq_mem_read_threaded,6086882.86,176402577209,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,serialization_fast,67.88,2298165415,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,serialization,592.67,241279944,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,sort_64bit,,616725994,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_read_random,75822.89,108041249,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_read_seq,872.84,9385415383,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_write_fsync,94053.96,87098935,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_write_no_fsync,14523.61,564046919,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,syscall,223.74,,
2026-05-30T04:19:25,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,tcp_echo,17880.17,1832644296,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,compression,34815.14,30118392824,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,context_switch,2920.85,,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,decompression,401289.41,2613016878,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,deserialization_fast,68.21,2287194392,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,deserialization,330.23,433031072,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,hash_crypto,121.54,526589746,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,hash_non_crypto,39.57,1617327807,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,hash_siphash,40.66,1573907400,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_rw,202.15,316600782,
2026-05-30T04:19:32,gcp-c4-standard-8-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_single,51726840.87,20757923854,
