date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,compression,47598.29,22029699712,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,context_switch,3330.72,,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,decompression,620431.97,1690074096,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,deserialization_fast,107.39,1452671201,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,deserialization,435.47,328379919,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_crypto,407.10,157209302,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_non_crypto,57.26,1117675298,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,hash_siphash,47.80,1338971334,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,mem_random_rw,154.86,413266887,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,seq_mem_read_single,39392799.33,27257312053,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,seq_mem_read_threaded,6166778.54,174117136893,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,serialization_fast,67.77,2301824082,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,serialization,592.49,241352826,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,sort_64bit,,613933897,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_read_random,78327.67,104586291,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_read_seq,881.50,9293290767,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_write_fsync,93461.58,87650986,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,ssd_write_no_fsync,14186.89,577434683,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,syscall,223.96,,
2026-06-01T05:23:03,gcp-c4a-standard-8-lssd,Neoverse-V2,bench_stable,tcp_echo,17121.38,1913864510,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,compression,32500.21,32263669674,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,context_switch,2272.64,,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,decompression,312544.82,3354962068,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,deserialization_fast,66.26,2354520420,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,deserialization,298.22,479514435,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,hash_crypto,116.24,550603404,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,hash_non_crypto,31.56,2027925075,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,hash_siphash,33.06,1935868868,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,mem_random_rw,158.91,402742160,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_single,23118480.05,46445173807,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_threaded,20706206.32,51856038100,
2026-06-01T05:23:14,gcp-c4d-standard-8-lssd,AMD EPYC 9B45,bench_stable,serialization_fast,45.85,3402718084,
