date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_read,33.06,1935866880,
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_write,32.03,1997831510,
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_single,51882807.02,20695522961,
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_threaded,5519517.98,194535433569,
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_write_single,93137557.46,11528558975,
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_write_threaded,8592310.90,124965429751,
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_read_seq,966.78,8473502045,
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_write_fsync,191892.54,42690559,
2026-06-17T11:39:37,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_write_no_fsync,2023.87,4047695194,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,mem_random_read,20.24,3162269719,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,mem_random_write,17.48,3661122023,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_single,21619660.38,49665064345,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_threaded,7132698.17,150537958850,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_write_single,33416287.57,32132289437,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_write_threaded,10201961.52,105248566347,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_read_seq,468.57,17482921768,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_write_fsync,94914.84,86308948,
2026-06-17T11:44:28,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_write_no_fsync,1661.66,4930003462,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,mem_random_read,35.38,1808759338,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,mem_random_write,20.07,3189445214,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_read_single,39747081.16,27014356594,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_read_threaded,3485080.00,308096750597,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_write_single,43030560.83,24953005569,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,seq_mem_write_threaded,6663978.29,161126248892,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_read_seq,874.63,9366269481,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_write_fsync,99504.22,82328171,
2026-06-17T11:49:23,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,ssd_write_no_fsync,1918.88,4269159596,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,mem_random_read,36.54,1751547834,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,mem_random_write,24.58,2603567998,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_read_single,92565166.02,11599847655,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_read_threaded,5661503.44,189656658513,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_write_single,87442395.83,12279419082,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,seq_mem_write_threaded,7246548.42,148172862638,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,ssd_read_seq,62463.46,131148666,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,ssd_write_fsync,3409576.48,2402644,
2026-06-17T11:54:01,aws-c7i.12xlarge,Intel Xeon Platinum 8488C,bench_stable,ssd_write_no_fsync,3238.84,2529303855,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,mem_random_read,28.93,2212280661,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,mem_random_write,29.36,2179473161,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,seq_mem_read_single,28999859.99,37025758901,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,seq_mem_read_threaded,4929007.20,217841398991,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,seq_mem_write_single,38978706.29,27546882035,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,seq_mem_write_threaded,7803033.33,137605694856,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,ssd_read_seq,62464.22,131147069,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,ssd_write_fsync,2843537.93,2880918,
2026-06-17T11:57:05,aws-c7a.12xlarge,AMD EPYC 9R14,bench_stable,ssd_write_no_fsync,3861.62,2121386802,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,mem_random_read,38.06,1681665440,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,mem_random_write,22.78,2809234280,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,seq_mem_read_single,33468639.21,32082028114,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,seq_mem_read_threaded,4132035.02,259857870920,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,seq_mem_write_single,40468575.14,26532731144,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,seq_mem_write_threaded,9438436.93,113762674024,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,ssd_read_seq,62465.54,131144301,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,ssd_write_fsync,2776257.44,2950735,
2026-06-17T12:00:08,aws-c7g.12xlarge,Neoverse-V1,bench_stable,ssd_write_no_fsync,3171.71,2582835022,
