date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_read,37.03,1728437498,
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,mem_random_write,35.93,1781142711,
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_single,51558753.66,20825596970,
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_read_threaded,5474716.97,196127367049,
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_write_single,88621081.50,12116099306,
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,seq_mem_write_threaded,8532515.54,125841180033,
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_read_seq,1023.10,8007049673,
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_write_fsync,170909.43,47931819,
2026-07-17T10:37:38,gcp-c4-standard-48-lssd,Intel Xeon 6985P-C,bench_stable,ssd_write_no_fsync,2015.35,4064802961,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,mem_random_read,21.06,3038776690,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,mem_random_write,17.60,3636562996,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_single,21655329.69,49583259159,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_read_threaded,7135835.62,150471771176,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_write_single,34165802.59,31427384774,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,seq_mem_write_threaded,10229004.18,104970318267,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_read_seq,491.23,16676638268,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_write_fsync,93546.20,87571705,
2026-07-17T10:42:29,gcp-c4d-standard-48-lssd,AMD EPYC 9B45,bench_stable,ssd_write_no_fsync,1680.46,4874856603,
2026-07-17T10:47:07,gcp-c4a-standard-48-lssd,Neoverse-V2,bench_stable,mem_random_read,35.09,1823872395,
